Additional File 3-1. Unique reactions involved in the in silico model of Rhodococcus jostii RHA1,,,,,,,,,,,
Name,ID,Definition,Equation,Directionality,Lower Bound,Upper Bound,EC No,ORF,Replaced Reaction,Reference,Note
cytochrome-c oxidase,A00401,2 Ferrocytochrome b1 + 0.5 Oxygen + 4 H+ <=> 2 Ferricytochrome b1 + H2O + 2 H+(p),2 C00998 + 0.5 C00007 + 4 C00080 <=> 2 C00995 + C00001 + 2 N00071,1,0,Inf,ec: 1.9.3.1,"ro08285, ro04224, ro06446, ro01130, ro01137",R00081,(Bott and Niebisch 2003),
ATP synthase (Complex V),A00402,ADP + Orthophosphate + 3 H+(p) <=> ATP + H2O + 3 H+,C00008 + C00009 + 3 N00071 <=> C00002 + C00001 + 3 C00080,1,0,Inf,ec: 3.6.3.14,"ro01471, ro01472, ro01473, ro01474, ro01475, ro01476, ro01477, ro01478",,(Bott and Niebisch 2003),
"Octadecanoyl-[acyl-carrier protein],hydrogen-donor:oxygen oxidoreductase",A00403,Octadecanoyl-[acyl-carrier protein] + Menaquinol + Oxygen <=> Oleoyl-[acyl-carrier protein] + Menaquinone + 2 H2O,C04088 + C05819 + C00007 <=> C01203 + C00828 + 2 C00001,1,0,Inf,ec: 1.14.19.2,"ro02258, ro04869",R03370,"(Kanehisa, Goto et al. 2004)",
"Hexadecanoyl-[acp],hydrogen-donor:oxygen oxidoreductase",A00404,Hexadecanoyl-[acp] + Menaquinol + Oxygen <=> Hexadecenoyl-[acyl-carrier protein] + Menaquinone + 2 H2O,C05764 + C05819 + C00007 <=> C16520 + C00828 + 2 C00001,1,0,Inf,ec: 1.14.19.2,"ro02258, ro04869",R08161,"(Kanehisa, Goto et al. 2004)",
Choline:Menaquinone 1-oxidoreductase,A00405,Choline + Menaquinone <=> Betaine aldehyde + Menaquinol,C00114 + C00828 <=> C00576 + C05819,1,0,Inf,ec: 1.1.99.1,"ro01725, ro01805, ro01877, ro06079",R01025,"(Kanehisa, Goto et al. 2004)",
"2-methylpropanoyl-CoA:(Menaquinone) 2,3-oxidoreductase",A00406,2-Methylpropanoyl-CoA + NAD+  <=> 2-Methylprop-2-enoyl-CoA + NADH + H+,C00630 + C00003 <=> C03460 + C00004 + C00080,1,0,Inf,ec: 1.3.99.3 or ec: 1.3.99.2,"ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357 or (ro02521, ro03348, ro03612, ro03878, ro05203, ro06400)",R02661,"(Kanehisa, Goto et al. 2004)",
"(S)-2-methylbutanoyl-CoA:Menaquinone 2,3-oxidoreductase",A00407,(S)-2-Methylbutanoyl-CoA + NAD+ <=> 2-Methylbut-2-enoyl-CoA + NADH + H+,C15980 + C00003 <=> C03345 + C00004 + C00080,1,-Inf,Inf,ec: 1.3.99.3 or ec: 1.3.99.2,"ro01875, ro01932, ro02214, ro02297, ro02341, ro02696, ro03059, ro03093, ro03965, ro04596, ro04636, ro04692, ro04693, ro04748, ro04754, ro05247, ro05713, ro05756, ro05827, ro05896, ro06399, ro06629, ro06682, ro07119, ro08438, ro09029, ro10128, ro10306, ro10307, ro10357 or (ro02521, ro03348, ro03612, ro03878, ro05203, ro06400)",R03172,"(Kanehisa, Goto et al. 2004)",
Citronellyl-CoA oxidoreductase,A00408,Citronellyl-CoA + Menaquinone <=> Geranoyl-CoA + Menaquinol,C16464 + C00828 <=> C01920 + C05819,1,0,Inf,ec: 1.3.99.-,,R08089,"(Kanehisa, Goto et al. 2004)",
"Glutaryl-CoA:(Menaquinone) 2,3-oxidoreductase (decarboxylating)",A00409,Glutaryl-CoA + Menaquinone <=> Crotonoyl-CoA + Menaquinol + CO2,C00527 + C00828 <=> C00877 + C05819 + C00011,1,0,Inf,ec: 1.3.99.7,ro02304,R02488,"(Kanehisa, Goto et al. 2004)",
D-phenylalanine:Menaquinone oxidoreductase (deaminating),A00410,D-Phenylalanine + H2O + Menaquinone <=> Phenylpyruvate + NH3 + Menaquinol,C02265 + C00001 + C00828 <=> C00166 + C00014 + C05819,1,0,Inf,ec: 1.4.99.1,"ro01324, ro02152",R01374,"(Kanehisa, Goto et al. 2004)",
Selenocysteine reductase,A00411,Selenocysteine + Menaquinol <=> Selenide + L-Alanine + Menaquinone,C05688 + C05819 <=> C01528 + C00041 + C00828,1,0,0,ec: 4.4.1.16,ro07199,R03599,"(Kanehisa, Goto et al. 2004)",
"Glutaryl-CoA:(Menaquinone) 2,3-oxidoreductase",A00413,Glutaryl-CoA + Menaquinone <=> Glutaconyl-1-CoA + Menaquinol,C00527 + C00828 <=> C02411 + C05819,1,0,Inf,ec: 1.3.99.7,ro02304,R05579,"(Kanehisa, Goto et al. 2004)",
"2,6-Dihydroxycyclohexane-1-carboxyl-CoA oxidoreductase",A00414,"2,6-Dihydroxycyclohexane-1-carboxyl-CoA + Menaquinone <=> 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA + Menaquinol",C09824 + C00828 <=> C09825 + C05819,1,0,Inf,ec: 1.1.-.-,,R05583,"(Kanehisa, Goto et al. 2004)",
Carbon-monoxide:Menaquinone oxidoreductase,A00415,CO2 + Menaquinol <=> CO + H2O + Menaquinone,C00011 + C05819 <=> C00237 + C00001 + C00828,1,0,0,ec: 1.2.99.2,"ro03489, ro03490, ro04975, ro04977, ro05230, ro05231, ro05232",R00296,"(Kanehisa, Goto et al. 2004)",
2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA oxidoreductase,A00416,2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA + Menaquinone <=> 4-Isopropenyl-2-oxy-cyclohexanecarboxyl-CoA + Menaquinol,C11934 + C00828 <=> C11935 + C05819,1,0,Inf,ec: 1.1.-.-,,R06370,"(Kanehisa, Goto et al. 2004)",
Alpha-Pinene dehydrogenase,A00417,alpha-Pinene + Menaquinol <=> Myrtenol + H2O + Menaquinone,C09880 + C05819 <=> C11938 + C00001 + C00828,1,0,Inf,ec: 1.14.-.-,,R06401,"(Kanehisa, Goto et al. 2004)",
Myrtenol dehydrogenase,A00418,Myrtenol + Oxygen + Menaquinone <=> Myrtenal + 2 H2O + Menaquinol,C11938 + C00007 + C00828 <=> C11939 + 2 C00001 + C05819,1,0,Inf,ec: 1.1.-.-,,R06402,"(Kanehisa, Goto et al. 2004)",
"N,N-Dimethylglycine:Menaquinone oxidoreductase (demethylating)",A00421,"N,N-Dimethylglycine + Menaquinone + H2O <=> Sarcosine + Formaldehyde + Menaquinol",C01026 + C00828 + C00001 <=> C00213 + C00067 + C05819,1,0,Inf,ec: 1.5.99.2,,R01565,"(Kanehisa, Goto et al. 2004)",
"Pregnenolone,hydrogen-donor:oxygen oxidoreductase (17-alpha-hydroxylating)",A00423,Pregnenolone + Menaquinol + Oxygen <=> 17alpha-Hydroxypregnenolone + Menaquinone + H2O,C01953 + C05819 + C00007 <=> C05138 + C00828 + C00001,1,0,Inf,ec: 1.14.99.9,,R03783,"(Kanehisa, Goto et al. 2004)",
"4-Methoxybenzoate,hydrogen-donor:oxygen oxidoreductase (O-demethylating)",A00424,4-Methoxybenzoate + Menaquinol + Oxygen <=> 4-Hydroxybenzoate + Formaldehyde + Menaquinone + H2O,C02519 + C05819 + C00007 <=> C00156 + C00067 + C00828 + C00001,1,0,Inf,ec: 1.14.99.15,,R01306,"(Kanehisa, Goto et al. 2004)",
Chloride channel transporter,A00425,Cl- <=> Cl-,C00698 <=> E00261,1,0,Inf,,ro05905,,,
4-Aminobutanoate uptake via proton symport,A00426,4-Aminobutanoate + H+(out) <=> 4-Aminobutanoate + H+,E00262 + E00260 <=> C00334 + C00080,1,0,0,,ro08795,,,
L-Asparagine transport via proton symport,A00427,L-Asparagine + H+ <=> L-Asparagine + H+(out),C00152 + C00080 <=> E00063 + E00260,1,0,0,,,,,
Glycine/Succinate symporter,A00429,Glycine + Succinate <=> Glycine + Succinate,E00264 + E00091 <=> C00037 + C00042,1,0,0,,ro01794,,,
L-Alanine/Succinate symporter,A00430,L-Alanine + Succinate <=> L-Alanine + Succinate,E00243 + E00091 <=> C00041 + C00042,1,0,0,,ro01794,,,
L-Arginine/Succinate symporter,A00431,L-Arginine + Succinate <=> L-Arginine + Succinate,E00244 + E00091 <=> C00062 + C00042,1,0,0,,ro01794,,,
L-Asparagine/Succinate symporter,A00432,L-Asparagine + Succinate <=> L-Asparagine + Succinate,E00063 + E00091 <=> C00152 + C00042,1,0,0,,ro01794,,,
L-Aspartate/Succinate symporter,A00433,L-Aspartate + Succinate <=> L-Aspartate + Succinate,E00265 + E00091 <=> C00049 + C00042,1,0,0,,ro01794,,,
L-Cysteine/Succinate symporter,A00434,L-Cysteine + Succinate <=> L-Cysteine + Succinate,E00241 + E00091 <=> C00097 + C00042,1,0,0,,ro01794,,,
L-Glutamate/Succinate symporter,A00435,L-Glutamate + Succinate <=> L-Glutamate + Succinate,E00150 + E00091 <=> C00025 + C00042,1,0,0,,ro01794,,,
L-Glutamine/Succinate symporter,A00436,L-Glutamine + Succinate <=> L-Glutamine + Succinate,E00193 + E00091 <=> C00064 + C00042,1,0,0,,ro01794,,,
L-Histidine/Succinate symporter,A00437,L-Histidine + Succinate <=> L-Histidine + Succinate,E00156 + E00091 <=> C00135 + C00042,1,0,0,,ro01794,,,
L-Isoleucine/Succinate symporter,A00438,L-Isoleucine + Succinate <=> L-Isoleucine + Succinate,E00154 + E00091 <=> C00407 + C00042,1,0,0,,ro01794,,,
L-Leucine/Succinate symporter,A00439,L-Leucine + Succinate <=> L-Leucine + Succinate,E00153 + E00091 <=> C00123 + C00042,1,0,0,,ro01794,,,
L-Lysine/Succinate symporter,A00440,L-Lysine + Succinate <=> L-Lysine + Succinate,E00266 + E00091 <=> C00047 + C00042,1,0,0,,ro01794,,,
L-Methionine/Succinate symporter,A00441,L-Methionine + Succinate <=> L-Methionine + Succinate,E00267 + E00091 <=> C00073 + C00042,1,0,0,,ro01794,,,
L-Proline/Succinate symporter,A00442,L-Proline + Succinate <=> L-Proline + Succinate,E00268 + E00091 <=> C00148 + C00042,1,0,0,,ro01794,,,
L-Serine/Succinate symporter,A00443,L-Serine + Succinate <=> L-Serine + Succinate,E00269 + E00091 <=> C00065 + C00042,1,0,0,,ro01794,,,
L-Threonine/Succinate symporter,A00444,L-Threonine + Succinate <=> L-Threonine + Succinate,E00155 + E00091 <=> C00188 + C00042,1,0,0,,ro01794,,,
L-Tryptophan/Succinate symporter,A00445,L-Tryptophan + Succinate <=> L-Tryptophan + Succinate,E00270 + E00091 <=> C00078 + C00042,1,0,0,,ro01794,,,
L-Tyrosine/Succinate symporter,A00446,L-Tyrosine + Succinate <=> L-Tyrosine + Succinate,E00174 + E00091 <=> C00082 + C00042,1,0,0,,ro01794,,,
L-Valine/Succinate symporter,A00447,L-Valine + Succinate <=> L-Valine + Succinate,E00152 + E00091 <=> C00183 + C00042,1,0,0,,ro01794,,,
Glycine/6-Carboxyhexanoate symporter,A00448,Glycine + 6-Carboxyhexanoate <=> Glycine + 6-Carboxyhexanoate,E00264 + E00087 <=> C00037 + C02656,1,0,0,,ro01794,,,
L-Alanine/6-Carboxyhexanoate symporter,A00449,L-Alanine + 6-Carboxyhexanoate <=> L-Alanine + 6-Carboxyhexanoate,E00243 + E00087 <=> C00041 + C02656,1,0,0,,ro01794,,,
L-Arginine/6-Carboxyhexanoate symporter,A00450,L-Arginine + 6-Carboxyhexanoate <=> L-Arginine + 6-Carboxyhexanoate,E00244 + E00087 <=> C00062 + C02656,1,0,0,,ro01794,,,
L-Asparagine/6-Carboxyhexanoate symporter,A00451,L-Asparagine + 6-Carboxyhexanoate <=> L-Asparagine + 6-Carboxyhexanoate,E00063 + E00087 <=> C00152 + C02656,1,0,0,,ro01794,,,
L-Aspartate/6-Carboxyhexanoate symporter,A00452,L-Aspartate + 6-Carboxyhexanoate <=> L-Aspartate + 6-Carboxyhexanoate,E00265 + E00087 <=> C00049 + C02656,1,0,0,,ro01794,,,
L-Cysteine/6-Carboxyhexanoate symporter,A00453,L-Cysteine + 6-Carboxyhexanoate <=> L-Cysteine + 6-Carboxyhexanoate,E00241 + E00087 <=> C00097 + C02656,1,0,0,,ro01794,,,
L-Glutamate/6-Carboxyhexanoate symporter,A00454,L-Glutamate + 6-Carboxyhexanoate <=> L-Glutamate + 6-Carboxyhexanoate,E00150 + E00087 <=> C00025 + C02656,1,0,0,,ro01794,,,
L-Glutamine/6-Carboxyhexanoate symporter,A00455,L-Glutamine + 6-Carboxyhexanoate <=> L-Glutamine + 6-Carboxyhexanoate,E00193 + E00087 <=> C00064 + C02656,1,0,0,,ro01794,,,
L-Histidine/6-Carboxyhexanoate symporter,A00456,L-Histidine + 6-Carboxyhexanoate <=> L-Histidine + 6-Carboxyhexanoate,E00156 + E00087 <=> C00135 + C02656,1,0,0,,ro01794,,,
L-Isoleucine/6-Carboxyhexanoate symporter,A00457,L-Isoleucine + 6-Carboxyhexanoate <=> L-Isoleucine + 6-Carboxyhexanoate,E00154 + E00087 <=> C00407 + C02656,1,0,0,,ro01794,,,
L-Leucine/6-Carboxyhexanoate symporter,A00458,L-Leucine + 6-Carboxyhexanoate <=> L-Leucine + 6-Carboxyhexanoate,E00153 + E00087 <=> C00123 + C02656,1,0,0,,ro01794,,,
L-Lysine/6-Carboxyhexanoate symporter,A00459,L-Lysine + 6-Carboxyhexanoate <=> L-Lysine + 6-Carboxyhexanoate,E00266 + E00087 <=> C00047 + C02656,1,0,0,,ro01794,,,
L-Methionine/6-Carboxyhexanoate symporter,A00460,L-Methionine + 6-Carboxyhexanoate <=> L-Methionine + 6-Carboxyhexanoate,E00267 + E00087 <=> C00073 + C02656,1,0,0,,ro01794,,,
L-Proline/6-Carboxyhexanoate symporter,A00461,L-Proline + 6-Carboxyhexanoate <=> L-Proline + 6-Carboxyhexanoate,E00268 + E00087 <=> C00148 + C02656,1,0,0,,ro01794,,,
L-Serine/6-Carboxyhexanoate symporter,A00462,L-Serine + 6-Carboxyhexanoate <=> L-Serine + 6-Carboxyhexanoate,E00269 + E00087 <=> C00065 + C02656,1,0,0,,ro01794,,,
L-Threonine/6-Carboxyhexanoate symporter,A00463,L-Threonine + 6-Carboxyhexanoate <=> L-Threonine + 6-Carboxyhexanoate,E00155 + E00087 <=> C00188 + C02656,1,0,0,,ro01794,,,
L-Tryptophan/6-Carboxyhexanoate symporter,A00464,L-Tryptophan + 6-Carboxyhexanoate <=> L-Tryptophan + 6-Carboxyhexanoate,E00270 + E00087 <=> C00078 + C02656,1,0,0,,ro01794,,,
L-Tyrosine/6-Carboxyhexanoate symporter,A00465,L-Tyrosine + 6-Carboxyhexanoate <=> L-Tyrosine + 6-Carboxyhexanoate,E00174 + E00087 <=> C00082 + C02656,1,0,0,,ro01794,,,
L-Valine/6-Carboxyhexanoate symporter,A00466,L-Valine + 6-Carboxyhexanoate <=> L-Valine + 6-Carboxyhexanoate,E00152 + E00087 <=> C00183 + C02656,1,0,0,,ro01794,,,
Glycine/Phthalate symporter,A00467,Glycine + Phthalate <=> Glycine + Phthalate,E00264 + E00023 <=> C00037 + C01606,1,0,0,,ro01794,,,
L-Alanine/Phthalate symporter,A00468,L-Alanine + Phthalate <=> L-Alanine + Phthalate,E00243 + E00023 <=> C00041 + C01606,1,0,0,,ro01794,,,
L-Arginine/Phthalate symporter,A00469,L-Arginine + Phthalate <=> L-Arginine + Phthalate,E00244 + E00023 <=> C00062 + C01606,1,0,0,,ro01794,,,
L-Asparagine/Phthalate symporter,A00470,L-Asparagine + Phthalate <=> L-Asparagine + Phthalate,E00063 + E00023 <=> C00152 + C01606,1,0,0,,ro01794,,,
L-Aspartate/Phthalate symporter,A00471,L-Aspartate + Phthalate <=> L-Aspartate + Phthalate,E00265 + E00023 <=> C00049 + C01606,1,0,0,,ro01794,,,
L-Cysteine/Phthalate symporter,A00472,L-Cysteine + Phthalate <=> L-Cysteine + Phthalate,E00241 + E00023 <=> C00097 + C01606,1,0,0,,ro01794,,,
L-Glutamate/Phthalate symporter,A00473,L-Glutamate + Phthalate <=> L-Glutamate + Phthalate,E00150 + E00023 <=> C00025 + C01606,1,0,0,,ro01794,,,
L-Glutamine/Phthalate symporter,A00474,L-Glutamine + Phthalate <=> L-Glutamine + Phthalate,E00193 + E00023 <=> C00064 + C01606,1,0,0,,ro01794,,,
L-Histidine/Phthalate symporter,A00475,L-Histidine + Phthalate <=> L-Histidine + Phthalate,E00156 + E00023 <=> C00135 + C01606,1,0,0,,ro01794,,,
L-Isoleucine/Phthalate symporter,A00476,L-Isoleucine + Phthalate <=> L-Isoleucine + Phthalate,E00154 + E00023 <=> C00407 + C01606,1,0,0,,ro01794,,,
L-Leucine/Phthalate symporter,A00477,L-Leucine + Phthalate <=> L-Leucine + Phthalate,E00153 + E00023 <=> C00123 + C01606,1,0,0,,ro01794,,,
L-Lysine/Phthalate symporter,A00478,L-Lysine + Phthalate <=> L-Lysine + Phthalate,E00266 + E00023 <=> C00047 + C01606,1,0,0,,ro01794,,,
L-Methionine/Phthalate symporter,A00479,L-Methionine + Phthalate <=> L-Methionine + Phthalate,E00267 + E00023 <=> C00073 + C01606,1,0,0,,ro01794,,,
L-Proline/Phthalate symporter,A00480,L-Proline + Phthalate <=> L-Proline + Phthalate,E00268 + E00023 <=> C00148 + C01606,1,0,0,,ro01794,,,
L-Serine/Phthalate symporter,A00481,L-Serine + Phthalate <=> L-Serine + Phthalate,E00269 + E00023 <=> C00065 + C01606,1,0,0,,ro01794,,,
L-Threonine/Phthalate symporter,A00482,L-Threonine + Phthalate <=> L-Threonine + Phthalate,E00155 + E00023 <=> C00188 + C01606,1,0,0,,ro01794,,,
L-Tryptophan/Phthalate symporter,A00483,L-Tryptophan + Phthalate <=> L-Tryptophan + Phthalate,E00270 + E00023 <=> C00078 + C01606,1,0,0,,ro01794,,,
L-Tyrosine/Phthalate symporter,A00484,L-Tyrosine + Phthalate <=> L-Tyrosine + Phthalate,E00174 + E00023 <=> C00082 + C01606,1,0,0,,ro01794,,,
L-Valine/Phthalate symporter,A00485,L-Valine + Phthalate <=> L-Valine + Phthalate,E00152 + E00023 <=> C00183 + C01606,1,0,0,,ro01794,,,
Glycine/Terephthalate symporter,A00486,Glycine + Terephthalate <=> Glycine + Terephthalate,E00264 + E00049 <=> C00037 + C06337,1,0,0,,ro01794,,,
L-Alanine/Terephthalate symporter,A00487,L-Alanine + Terephthalate <=> L-Alanine + Terephthalate,E00243 + E00049 <=> C00041 + C06337,1,0,0,,ro01794,,,
L-Arginine/Terephthalate symporter,A00488,L-Arginine + Terephthalate <=> L-Arginine + Terephthalate,E00244 + E00049 <=> C00062 + C06337,1,0,0,,ro01794,,,
L-Asparagine/Terephthalate symporter,A00489,L-Asparagine + Terephthalate <=> L-Asparagine + Terephthalate,E00063 + E00049 <=> C00152 + C06337,1,0,0,,ro01794,,,
L-Aspartate/Terephthalate symporter,A00490,L-Aspartate + Terephthalate <=> L-Aspartate + Terephthalate,E00265 + E00049 <=> C00049 + C06337,1,0,0,,ro01794,,,
L-Cysteine/Terephthalate symporter,A00491,L-Cysteine + Terephthalate <=> L-Cysteine + Terephthalate,E00241 + E00049 <=> C00097 + C06337,1,0,0,,ro01794,,,
L-Glutamate/Terephthalate symporter,A00492,L-Glutamate + Terephthalate <=> L-Glutamate + Terephthalate,E00150 + E00049 <=> C00025 + C06337,1,0,0,,ro01794,,,
L-Glutamine/Terephthalate symporter,A00493,L-Glutamine + Terephthalate <=> L-Glutamine + Terephthalate,E00193 + E00049 <=> C00064 + C06337,1,0,0,,ro01794,,,
L-Histidine/Terephthalate symporter,A00494,L-Histidine + Terephthalate <=> L-Histidine + Terephthalate,E00156 + E00049 <=> C00135 + C06337,1,0,0,,ro01794,,,
L-Isoleucine/Terephthalate symporter,A00495,L-Isoleucine + Terephthalate <=> L-Isoleucine + Terephthalate,E00154 + E00049 <=> C00407 + C06337,1,0,0,,ro01794,,,
L-Leucine/Terephthalate symporter,A00496,L-Leucine + Terephthalate <=> L-Leucine + Terephthalate,E00153 + E00049 <=> C00123 + C06337,1,0,0,,ro01794,,,
L-Lysine/Terephthalate symporter,A00497,L-Lysine + Terephthalate <=> L-Lysine + Terephthalate,E00266 + E00049 <=> C00047 + C06337,1,0,0,,ro01794,,,
L-Methionine/Terephthalate symporter,A00498,L-Methionine + Terephthalate <=> L-Methionine + Terephthalate,E00267 + E00049 <=> C00073 + C06337,1,0,0,,ro01794,,,
L-Proline/Terephthalate symporter,A00499,L-Proline + Terephthalate <=> L-Proline + Terephthalate,E00268 + E00049 <=> C00148 + C06337,1,0,0,,ro01794,,,
L-Serine/Terephthalate symporter,A00500,L-Serine + Terephthalate <=> L-Serine + Terephthalate,E00269 + E00049 <=> C00065 + C06337,1,0,0,,ro01794,,,
L-Threonine/Terephthalate symporter,A00501,L-Threonine + Terephthalate <=> L-Threonine + Terephthalate,E00155 + E00049 <=> C00188 + C06337,1,0,0,,ro01794,,,
L-Tryptophan/Terephthalate symporter,A00502,L-Tryptophan + Terephthalate <=> L-Tryptophan + Terephthalate,E00270 + E00049 <=> C00078 + C06337,1,0,0,,ro01794,,,
L-Tyrosine/Terephthalate symporter,A00503,L-Tyrosine + Terephthalate <=> L-Tyrosine + Terephthalate,E00174 + E00049 <=> C00082 + C06337,1,0,0,,ro01794,,,
L-Valine/Terephthalate symporter,A00504,L-Valine + Terephthalate <=> L-Valine + Terephthalate,E00152 + E00049 <=> C00183 + C06337,1,0,0,,ro01794,,,
Cytosine uptake via proton symport,A00505,Cytosine + H+(out) <=> Cytosine + H+,E00271 + E00260 <=> C00380 + C00080,1,0,0,,ro01777,,,
Adenine uptake via proton symport,A00506,Adenine + H+(out) <=> Adenine + H+,E00272 + E00260 <=> C00147 + C00080,1,0,0,,ro01777,,,
Guanine uptake via proton symport,A00507,Guanine + H+(out) <=> Guanine + H+,E00273 + E00260 <=> C00242 + C00080,1,0,0,,ro01777,,,
Uracil uptake via proton symport,A00508,Uracil + H+(out) <=> Uracil + H+,E00274 + E00260 <=> C00106 + C00080,1,0,0,,ro01777,,,
Thiamine uptake via proton symport,A00509,Thiamine + H+(out) <=> Thiamine + H+,E00275 + E00260 <=> C00378 + C00080,1,0,0,,ro01777,,,
Ethanolamine uptake via proton symport,A00510,Ethanolamine + H+(out) <=> Ethanolamine + H+,E00276 + E00260 <=> C00189 + C00080,1,0,0,,"ro06083, eutP",,,
Adenine transport via Cytosine symport,A00511,Adenine + Cytosine <=> Adenine + Cytosine,E00272 + E00271 <=> C00147 + C00380,1,0,0,,"ro04388, ro03848",,,
Guanine transport via Cytosine symport,A00512,Guanine + Cytosine <=> Guanine + Cytosine,E00273 + E00271 <=> C00242 + C00380,1,0,0,,"ro04388, ro03848",,,
Xanthine transport via Uracil symport,A00513,Uracil + Xanthine <=> Uracil + Xanthine,E00274 + E00277 <=> C00106 + C00385,1,0,0,,"ro04515, ro06786, ro01569, ro03492",,,
L-Glutamine transport via proton symport,A00514,L-Glutamine + H+ <=> L-Glutamine + H+(out),C00064 + C00080 <=> E00193 + E00260,1,0,0,,"ro05668, ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
Tartrate transport via proton symport,A00515,"(R,R)-Tartaric acid + H+ <=> (R,R)-Tartaric acid + H+(out)",C00898 + C00080 <=> E00250 + E00260,1,0,0,,ro03382,,,
2-Oxoglutarate transport via proton symport,A00516,2-Oxoglutarate + H+ <=> 2-Oxoglutarate + H+(out),C00026 + C00080 <=> E00278 + E00260,1,0,0,,"ro07101, ro02302, ro01534, ro03355 ",,,
L-Proline transport via proton symport,A00517,L-Proline + H+ <=> L-Proline + H+(out),C00148 + C00080 <=> E00268 + E00260,1,0,0,,"ro10435, ro03293, ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
(S)-Lactate uptake via proton symport,A00518,(S)-Lactate + H+(out) <=> (S)-Lactate + H+,E00279 + E00260 <=> C00186 + C00080,1,0,0,,"ro03235, ro03228",,,
L-Phenylalanine transport via proton symport,A00519,L-Phenylalanine + H+ <=> L-Phenylalanine + H+(out),C00079 + C00080 <=> E00035 + E00260,1,0,0,,"pheP, ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,"(Navarro-Llorens, Patrauchan et al. 2005)",
D-Xylulose transport via proton symport,A00520,D-Xylulose + H+ <=> D-Xylulose + H+(out),C00310 + C00080 <=> E00280 + E00260,1,0,0,,"ro02365, ro06844, ro03889, ro01361, ro03610, ro02998, ro02887 or (ro04582, ro06239, ro03961)",,,
L-Ribulose transport via proton symport,A00521,L-Ribulose + H+ <=> L-Ribulose + H+(out),C00508 + C00080 <=> E00281 + E00260,1,0,0,,"ro02365, ro06844, ro03889, ro01361, ro03610, ro02998, ro02887 or (ro04582, ro06239, ro03961)",,,
Mannitol transport via proton symport,A00522,Mannitol + H+ <=> Mannitol + H+(out),C00392 + C00080 <=> E00141 + E00260,1,0,0,,"ro02365, ro06844, ro03889, ro01361, ro03610, ro02998, ro02887 or (ro04582, ro06239, ro03961)",,,
Maltose transport via proton symport,A00523,Maltose + H+ <=> Maltose + H+(out),C00208 + C00080 <=> E00025 + E00260,1,0,0,,"ro02365, ro06844, ro03889, ro01361, ro03610, ro02998, ro02887 or (ro04582, ro06239, ro03961)",,,
Shikimate uptake via proton symport,A00524,Shikimate + H+(out) <=> Shikimate + H+,E00282 + E00260 <=> C00493 + C00080,1,0,0,,"ro02473, ro03106, shiA2, ro05137, ro05128",,,
L-Proline/Betaine symport,A00525,L-Proline + Betaine <=> L-Proline + Betaine,E00268 + E00283 <=> C00148 + C00719,1,0,0,,"ro08626, ro07070, ro06795, ro03963, ro01302, ro02682",,,
Salicylate uptake via proton symport,A00527,Salicylate + H+(out) <=> Salicylate + H+,E00284 + E00260 <=> C00805 + C00080,1,0,0,,"ro00794, ro02923",,,
Glycine transport via proton symport,A00528,Glycine + H+ <=> Glycine + H+(out),C00037 + C00080 <=> E00264 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Alanine transport via proton symport,A00529,L-Alanine + H+ <=> L-Alanine + H+(out),C00041 + C00080 <=> E00243 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Arginine transport via proton symport,A00530,L-Arginine + H+ <=> L-Arginine + H+(out),C00062 + C00080 <=> E00244 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Aspartate transport via proton symport,A00531,L-Aspartate + H+ <=> L-Aspartate + H+(out),C00049 + C00080 <=> E00265 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Cysteine transport via proton symport,A00532,L-Cysteine + H+ <=> L-Cysteine + H+(out),C00097 + C00080 <=> E00241 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Lysine transport via proton symport,A00533,L-Lysine + H+ <=> L-Lysine + H+(out),C00047 + C00080 <=> E00266 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
L-Methionine transport via proton symport,A00534,L-Methionine + H+ <=> L-Methionine + H+(out),C00073 + C00080 <=> E00267 + E00260,1,0,0,,"ro00253, ro05717, ro01878, ro06919, ro04718, ro08471, ro08477, ro08798",,,
